Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Coagulation,0.29396439726819423,1.112703296010405,0.2191780821917808,0.6872828580793182,138,100,CTSH;PLAU;ANXA1;LAMP2;MMP10;MMP8;F3;GNG12;CAPN5;MMP9;PRSS23;SERPING1;RAC1;DPP4;C9;APOC1;PECAM1;C1S;ITGA2;C2;CSRP1;FBN1;TIMP1;TF;SPARC;CTSK;PROS1;F2;F12;APOA1;SIRT2;HTRA1;ANG;FN1;MMP2;VWF;WDR1;PREP;CPB2;C3;ISCU;C8G;CFH;GDA;ADAM9;A2M;CASP9;LEFTY2;CAPN2;PLG;ITIH1;CLU;C8A;CFD;APOC3;SERPINA1;MMP11;LTA4H;F10;GSN;ARF4;USP11;COMP;TIMP3;FGA;C8B;PROC;MSRB2;CD9;SERPINC1;LGMN;C1QA;C1R;PLAT;KLKB1;CTSV;LRP1;CPQ;GNB2;F11;CFI;CFB;THBS1;F13B;PROZ;APOC2;S100A13;HRG;RABIF;MMP14;F9;PLEK;CTSB;CRIP2;RGN;FGG;MST1;ITGB3;PEF1;MMP7,CTSH;PLAU;ANXA1;LAMP2;MMP10;MMP8;F3;GNG12;CAPN5;MMP9;PRSS23;SERPING1;RAC1;DPP4;C9;APOC1;PECAM1
Myc Targets V1,0.24446897193232367,1.0219163687703015,0.3972055888223553,0.7095105429913691,200,189,USP1;LSM7;PSMB3;SNRPD1;CYC1;PRDX4;HNRNPA2B1;ORC2;SRSF3;TCP1;COX5A;PSMB2;PSMA7;HNRNPU;HNRNPC;XPOT;TARDBP;EIF2S2;RACK1;CCT5;NHP2;HSPE1;HDDC2;SET;CUL1;EIF3J;TUFM;RPL22;EEF1B2;TXNL4A;ABCE1;GNL3;RAD23B;CAD;PSMA2;ACP1;NME1;RAN;RPS2;KPNB1;ERH;CCT3;YWHAQ;AIMP2;PSMC6;SRM;HNRNPR;PSMD14;RPLP0;PSMA6;UBE2L3;LSM2;RPL34;CCT7;HNRNPA3;PSMD7;PSMC4;DDX18;RRM1;SRSF1;PSMD8;EIF2S1;RPS5;CCT2;CDK2;CDK4;MRPL9;PABPC1;LDHA;PHB2;DEK;TOMM70;SERBP1;SNRPD3;RPS3;SRSF7;RSL1D1;RANBP1;MCM2;XPO1;SNRPB2;CCT4;SMARCC1;HNRNPA1;EXOSC7;RPS10;MCM7;PSMA1;HNRNPD;HPRT1;NCBP1;FAM120A;PPIA;PABPC4;SNRPA1;RFC4;APEX1;SLC25A3;SNRPG;MAD2L1;EIF4H;IMPDH2;ETF1;RUVBL2;PGK1;EIF4G2;MCM4;PRPF31;PRPS2;YWHAE;CNBP;HDAC2;PSMD3;NPM1;EIF1AX;POLE3;NAP1L1;GSPT1;NDUFAB1;AP3S1;PCBP1;VBP1;UBA2;SSBP1;SNRPD2;TRIM28;RNPS1;EIF4E;PSMD1;SF3A1;NOP16;DUT;MCM6;PHB;SRSF2;CANX;G3BP1;EIF3D;GOT2;FBL;ILF2;HSPD1;SF3B3;SSB;PPM1G;PWP1;PSMA4;RPL14;CSTF2;SYNCRIP;PA2G4;TFDP1;NOP56;CTPS1;MCM5;DHX15;SNRPA;CBX3;CLNS1A;CCNA2;EIF3B;XRCC6;COPS5;EIF4A1;NCBP2;GLO1;RRP9;PTGES3;BUB3;RPL6;POLD2;HDGF;DDX21;RPS6;HSP90AB1;PCNA;PRDX3;SRPK1;TRA2B;NOLC1;KPNA2;MRPL23;MRPS18B;VDAC1;RPL18;C1QBP;VDAC3;UBE2E1;STARD7,USP1;LSM7;PSMB3;SNRPD1;CYC1;PRDX4;HNRNPA2B1;ORC2;SRSF3;TCP1;COX5A;PSMB2;PSMA7;HNRNPU;HNRNPC;XPOT;TARDBP;EIF2S2;RACK1;CCT5;NHP2;HSPE1;HDDC2;SET;CUL1;EIF3J;TUFM;RPL22;EEF1B2;TXNL4A;ABCE1;GNL3;RAD23B;CAD;PSMA2;ACP1;NME1;RAN;RPS2;KPNB1;ERH;CCT3;YWHAQ;AIMP2;PSMC6;SRM;HNRNPR;PSMD14;RPLP0;PSMA6
KRAS Signaling Up,0.2693078329402961,0.97718704259317,0.5038610038610039,0.7106231108197677,200,79,RBP4;PLAU;CTSS;MMP10;RBM4;MMP9;AKAP12;F13A1;SERPINA3;CA2;ST6GAL1;ERO1A;PLAUR;PECAM1;SDCCAG8;CROT;LCP1;ANO1;CFHR2;ITGA2;RETN;JUP;GLRX;RABGAP1L;VWA5A;ADAM17;APOD;MAP7;STRN;FBXO4;CFH;GALNT3;PPBP;ITGB2;TOR1AIP2;PSMB8;BPGM;PLVAP;PRRX1;DOCK2;WDR33;MMP11;FUCA1;EPB41L3;GUCY1A1;SPP1;CBX8;CBL;CBR4;PLAT;IL33;CFB;SPON1;GYPC;EPHB2;AKT2;FCER1G;GPNMB;PTBP2;NRP1;SLPI;MPZL2;TNFAIP3;EVI5;AVL9;IGFBP3;SPARCL1;PCP4;PIGR;ALDH1A3;DNMBP;ALDH1A2;IGF2;ENG;DCBLD2;CAB39L;ACE;GNG11;HKDC1,RBP4;PLAU;CTSS;MMP10;RBM4;MMP9;AKAP12;F13A1;SERPINA3;CA2;ST6GAL1;ERO1A;PLAUR;PECAM1;SDCCAG8;CROT;LCP1;ANO1;CFHR2;ITGA2
Hypoxia,0.2735522484933788,1.0350173914778074,0.37250996015936255,0.7181895865524184,200,101,TGFBI;SELENBP1;F3;ISG20;PLIN2;GPC1;AKAP12;NDRG1;GAA;TES;MYH9;VEGFA;ALDOA;GAPDH;ERO1A;GYS1;PLAUR;AK4;PFKL;AMPD3;GALK1;HSPA5;ANKZF1;KDM3A;HEXA;PFKP;GLRX;CSRP2;SLC2A1;S100A4;DCN;GPI;RBPJ;CA12;XPNPEP1;SAP30;EGFR;LDHA;PDK1;PAM;STC1;P4HA2;PRKCA;PDK3;TPI1;PGK1;FBP1;FOXO3;UGP2;HMOX1;PRDX5;HDLBP;NEDD4L;BGN;ANXA2;CAVIN1;FAM162A;CP;CDKN1B;COL5A1;ILVBL;ALDOC;HK2;DPYSL4;PGM1;P4HA1;TPD52;JMJD6;GBE1;NAGK;PGM2;SRPX;ATP7A;HK1;STBD1;SCARB1;GRHPR;CASP6;CAV1;FOSL2;GPC4;TNFAIP3;GAPDHS;SLC25A1;NR3C1;SDC4;ZNF292;PYGM;PFKFB3;IGFBP3;SLC2A3;ENO1;CAVIN3;TGM2;MIF;DTNA;LXN;ENO3;TPBG;ENO2;VLDLR,TGFBI;SELENBP1;F3;ISG20;PLIN2;GPC1;AKAP12;NDRG1;GAA;TES;MYH9;VEGFA;ALDOA;GAPDH;ERO1A;GYS1;PLAUR;AK4;PFKL;AMPD3;GALK1;HSPA5;ANKZF1;KDM3A;HEXA;PFKP;GLRX;CSRP2
p53 Pathway,-0.28679071764195435,-1.0917854816169994,0.285140562248996,0.7189725330620549,200,99,SDC1;IFI30;ABAT;S100A10;BAK1;CD82;DNTTIP2;KRT17;NDRG1;COQ8A;PHLDA3;NOTCH1;RACK1;TSC22D1;DCXR;HEXIM1;PLXNB2;TGFB1;ELP1;RRAD;RPS12;GM2A;ITGB4;CTSD;DDB2;TAP1;VWA5A;PTPN14;STOM;CYFIP2;S100A4;PROCR;RETSAT;EPS8L2;BAIAP2;FDXR;PRKAB1;ISCU;CD81;TRAFD1;PRMT2;KIF13B;RXRA;AK1;UPP1;FOXO3;HMOX1;PMM1;LDHB;ERCC5;CTSF;ZFP36L1;FUCA1;CCNK;FAM162A;CASP1;RRP8;APAF1;EPHX1;TAX1BP3;CDKN2AIP;RAP2B;TPD52L1;PTPRE;BAX;CDH13;XPC;SP1;STEAP3;IRAK1;FAS;TRIAP1;APP;RPL36;DEF6;EI24;NOL8;HDAC3;ADA;HINT1;PCNA;VAMP8;TXNIP;RCHY1;ST14;HSPA4L;MAPKAPK3;DGKA;SEC61A1;RB1;PITPNC1;RPL18;SERPINB5;RHBDF2;TRAF4;SLC3A2;NUDT15;TPRKB;SFN,HINT1;PCNA;VAMP8;TXNIP;RCHY1;ST14;HSPA4L;MAPKAPK3;DGKA;SEC61A1;RB1;PITPNC1;RPL18;SERPINB5;RHBDF2;TRAF4;SLC3A2;NUDT15;TPRKB;SFN
Oxidative Phosphorylation,0.25808767632211443,1.043274369116421,0.3575418994413408,0.7450835791543756,200,173,CYC1;COX6A1;MRPS30;SURF1;UQCRB;NDUFB5;NDUFB8;UQCR10;NDUFB3;HTRA2;NDUFB4;MGST3;NDUFA8;COX5A;UQCRQ;NDUFC2;DECR1;UQCRH;COX5B;TIMM50;COX4I1;ATP1B1;ACADSB;ATP5ME;SLC25A12;NDUFV2;ATP5F1A;PDP1;HSD17B10;NDUFA2;DLD;FH;NDUFS8;CYB5A;NDUFA4;ATP5F1D;NDUFB1;ATP6V1D;NDUFS6;ATP5F1C;HADHB;SLC25A20;ACAT1;ATP5PF;COX7B;MTRR;PDHA1;IDH3G;UQCRC2;IDH3A;UQCRFS1;ETFB;NDUFA6;IMMT;ECH1;ATP5PO;UQCRC1;PHYH;CS;ALDH6A1;NDUFA9;NDUFB6;MRPS11;ACO2;GPI;RETSAT;ETFA;TIMM10;NDUFS4;POR;MRPS15;LDHA;PHB2;ISCU;TOMM70;COX6C;PMPCA;NDUFA3;ATP5PB;HADHA;FDX1;ATP5PD;NDUFS3;MDH2;ATP6V1C1;MRPL15;PDHB;SLC25A3;ATP6V1H;NDUFS1;HCCS;CPT1A;ATP5F1B;COX8A;CYCS;SDHB;SUCLA2;CYB5R3;ECI1;LDHB;MRPS22;COX7A2L;OGDH;ACAA1;GPX4;NDUFAB1;MRPS12;RHOT1;NDUFA5;DLAT;GLUD1;IDH3B;ETFDH;ACADM;RHOT2;DLST;BDH2;ACADVL;GOT2;ATP6V1F;COX7C;GRPEL1;SLC25A11;NDUFS2;SLC25A4;ATP6V1G1;BCKDHA;TIMM9;ATP5MG;MFN2;SUPV3L1;NDUFB7;COX6B1;HSPA9;BAX;TIMM13;MAOB;OPA1;ABCB7;NDUFV1;MTX2;SDHA;NDUFA7;TCIRG1;AFG3L2;LRPPRC;ATP6AP1;NQO2;ACAA2;COX17;CASP7;NDUFS7;TOMM22;SUCLG1;ECHS1;IDH1;PRDX3;FXN;NNT;SLC25A6;SLC25A5;MDH1;AIFM1;ATP6V1E1;PDHX;VDAC2;OXA1L;VDAC1;IDH2;OAT;VDAC3;MRPL11;ISCA1,CYC1;COX6A1;MRPS30;SURF1;UQCRB;NDUFB5;NDUFB8;UQCR10;NDUFB3;HTRA2;NDUFB4;MGST3;NDUFA8;COX5A;UQCRQ;NDUFC2;DECR1;UQCRH;COX5B;TIMM50;COX4I1;ATP1B1;ACADSB;ATP5ME;SLC25A12;NDUFV2;ATP5F1A;PDP1;HSD17B10;NDUFA2;DLD;FH;NDUFS8;CYB5A;NDUFA4;ATP5F1D;NDUFB1;ATP6V1D;NDUFS6;ATP5F1C
Estrogen Response Early,-0.29195713394829187,-1.1300589383866442,0.2229038854805726,0.7659981591822894,200,94,CALB2;OLFML3;CD44;ABAT;MUC1;CLDN7;ITPK1;FKBP4;PRSS23;NXT1;SLC27A2;GLA;PGR;IGF1R;BAG1;NAV2;PODXL;ISG20L2;SLC9A3R1;AR;CELSR1;FARP1;MINDY1;MYOF;MYBBP1A;SLC2A1;TBC1D30;KDM4B;CA12;MAPT;FLNB;CXCL12;MED13L;TTC39A;DEPTOR;ARL3;MLPH;RRP12;DYNLT3;DHRS3;ALDH3B1;HSPB8;ENDOD1;FRK;AKAP1;WFS1;SLC16A1;CANT1;ADD3;SVIL;GREB1;ZNF185;MED24;INPP5F;TPD52L1;NCOR2;SEC14L2;FKBP5;KRT19;IGFBP4;PDLIM3;MPPED2;WWC1;FASN;NADSYN1;FHL2;BLVRB;PPIF;SCARB1;ELF1;PAPSS2;RARA;MAST4;ABLIM1;KRT13;SLC26A2;CELSR2;GAB2;THSD4;DHCR7;ESRP2;CLIC3;B4GALT1;TGM2;GJA1;LRIG1;TJP3;TPBG;KRT8;FDFT1;KRT18;TFF3;LAD1;SFN,KRT13;SLC26A2;CELSR2;GAB2;THSD4;DHCR7;ESRP2;CLIC3;B4GALT1;TGM2;GJA1;LRIG1;TJP3;TPBG;KRT8;FDFT1;KRT18;TFF3;LAD1;SFN
Xenobiotic Metabolism,-0.2644742114133323,-1.0361104663383793,0.3665254237288136,0.7667005764665988,200,115,RBP4;ENTPD5;ALDH3A1;FBLN1;XDH;MAN1A1;NDRG2;ESR1;PSMB10;PGRMC1;PTGR1;APOE;VNN1;CA2;PDLIM5;DCXR;ADH5;CROT;CYB5A;ACP1;JUP;CYP27A1;FAH;KYNU;NFS1;DHRS1;PROS1;FETUB;PTS;ECH1;CAT;CYFIP2;UGDH;ACO2;RETSAT;ABCC3;POR;LONP1;GSTM4;HPRT1;SSR3;GCLC;GART;PLG;NPC1;UPP1;PC;FBP1;ADH1C;CDA;HMOX1;GSR;ACOX1;MTHFD1;PMM1;ITIH1;DHRS7;ACP2;LPIN2;NQO1;TKFC;NMT1;F10;AP4B1;ARPP19;SLC12A4;CBR1;ETFDH;ENPEP;ALDH9A1;VTN;GSTO1;MAOA;EPHX1;DDT;SERPINA6;ATP2A2;DHPS;ALDH2;IGFBP4;F11;CFB;CNDP2;BLVRB;FAS;PGD;BCAR1;TGFB2;PAPSS2;PTGES3;CASP6;BPHL;HRG;ACOX3;SHMT2;SAR1B;BCAT1;HGFAC;IDH1;ITIH4;AKR1C3;CRP;GSS;AHCY;DDAH2;PYCR1;COMT;HACL1;LCAT;ASL;PTGDS;MCCC2;RAP1GAP;CES1;SLC1A5,HGFAC;IDH1;ITIH4;AKR1C3;CRP;GSS;AHCY;DDAH2;PYCR1;COMT;HACL1;LCAT;ASL;PTGDS;MCCC2;RAP1GAP;CES1;SLC1A5
TGF-beta Signaling,0.3103145890105426,0.9333043842285643,0.5439672801635992,0.7960030361055047,54,28,UBE2D3;RHOA;FKBP1A;JUNB;SMAD3;TGFB1;CDK9;FNTA;PPM1A;LEFTY2;LTBP2;TRIM33;SPTBN1;MAP3K7;HDAC1;CTNNB1;XIAP;NCOR2;WWTR1;PPP1CA;THBS1;ARID4B;TJP1;CDH1;SMURF2;APC;BCAR3;ENG,UBE2D3;RHOA;FKBP1A;JUNB;SMAD3
Apical Surface,-0.3546025055583976,-0.9891038594559624,0.4613778705636743,0.7980932258653519,44,20,ATP8B1;LYN;PLAUR;CRYBG1;CROCC;GSTM3;HSPB1;EPHB4;ADAM10;SRPX;AKAP7;SHROOM2;NCOA6;THY1;APP;SULF2;B4GALT1;FLOT2;DCBLD2;AFAP1L2,SULF2;B4GALT1;FLOT2;DCBLD2;AFAP1L2
IL-2/STAT5 Signaling,-0.29554323068246097,-1.0929991508466408,0.28709055876685935,0.8037152424550695,199,88,CD44;MUC1;CDC42SE2;ALCAM;BCL2L1;PLIN2;AMACR;EEF1AKMT1;NDRG1;NCS1;IGF1R;CA2;GLIPR2;LCLAT1;CTSZ;SERPINB6;ITIH5;CASP3;ANXA4;SNX9;AHR;FAH;CAPG;PUS1;RABGAP1L;IRF6;HUWE1;MYO1C;SYNGR2;ENPP1;SWAP70;CYFIP1;AHNAK;CD81;GUCY1B1;COL6A1;UMPS;NOP2;GBP4;DHRS3;ECM1;FAM126B;SPRY4;MAPKAPK2;GPX4;FGL2;RNH1;SPP1;MYO1E;GALM;GSTO1;HK2;CDCP1;PDCD2L;P4HA1;HOPX;RHOB;SERPINC1;IGF2R;TNFSF10;PNP;PRAF2;WLS;DCPS;PTRH2;TTC39B;POU2F1;NRP1;PLSCR1;UCK2;SH3BGRL2;ITGAV;PLEC;ITGA6;CKAP4;SLC2A3;AHCY;TWSG1;TGM2;SELP;P2RX4;NCOA3;LRIG1;PRNP;ENO3;NT5E;PHLDA1;SLC1A5,CKAP4;SLC2A3;AHCY;TWSG1;TGM2;SELP;P2RX4;NCOA3;LRIG1;PRNP;ENO3;NT5E;PHLDA1;SLC1A5
mTORC1 Signaling,-0.23338678448139719,-0.9675395810187045,0.5307377049180327,0.8089606646320787,200,150,CTSC;UBE2D3;IFI30;IGFBP5;TCEA1;UFM1;DHFR;TUBA4A;TES;PSMB5;GLA;PHGDH;ALDOA;EIF2S2;GAPDH;ERO1A;G6PD;PSMG1;SSR1;AK4;FKBP2;HSPE1;ACTR2;SDF2L1;PFKL;ATP6V1D;PDAP1;HSP90B1;SLC9A3R1;HMBS;HSPA5;TFRC;DAPP1;GLRX;RIT1;PNO1;PSMD12;HSPA4;MAP2K3;NAMPT;PSMC6;PLOD2;PSMD14;M6PR;PSMC4;IMMT;SLC2A1;YKT6;SERPINH1;SQSTM1;STIP1;PSAT1;GPI;TM7SF2;GTF2H1;FDXR;LDHA;ACTR3;ABCF2;PSMD13;PDK1;MCM2;ITGB2;CACYBP;RPN1;HPRT1;PSMC2;STC1;GCLC;PPIA;RAB1A;PRDX1;EEF1E1;RPA1;TPI1;ETF1;RRM2;PGK1;UNG;GSR;TBK1;SKAP2;TOMM40;CALR;MCM4;CFP;USO1;ARPC5L;NUP205;NMT1;GGA2;FGL2;LTA4H;PSMA3;ACLY;CCT6A;CTH;CANX;ADD3;HK2;HSPD1;PGM1;P4HA1;CD9;GMPS;NFYC;TXNRD1;PSMA4;SORD;LGMN;CORO1A;ATP2A2;PITPNB;PNP;GBE1;IDI1;PSPH;HSPA9;ACSL3;HMGCS1;MTHFD2;SQLE;COPS5;TUBG1;RDH11;RRP9;DDX39A;QDPR;NFKBIB;SHMT2;BCAT1;GOT1;ACACA;PPA1;SEC11A;UCHL5;GSK3B;ME1;IDH1;SLC2A3;ENO1;DHCR7;ASNS;CYB5B;PSME3;CYP51A1;HMGCR;VLDLR;FADS2;SLC1A5,NFKBIB;SHMT2;BCAT1;GOT1;ACACA;PPA1;SEC11A;UCHL5;GSK3B;ME1;IDH1;SLC2A3;ENO1;DHCR7;ASNS;CYB5B;PSME3;CYP51A1;HMGCR;VLDLR;FADS2;SLC1A5
TNF-alpha Signaling via NF-kB,0.26083000164740905,0.9069096485873241,0.620253164556962,0.8276794493608652,200,61,CD44;PLAU;SOD2;TNC;F3;TUBB2A;VEGFA;PLAUR;JUNB;PDLIM5;TSC22D1;SMAD3;REL;MARCKS;KYNU;ATP2B1;MAP2K3;NAMPT;STAT5A;TAP1;BCL3;TNIP2;SQSTM1;NFKBIA;NFKBIE;EIF1;TNIP1;NFAT5;BIRC2;RELA;SERPINB8;TNFAIP2;NFKB1;ZBTB10;TRIP10;PLPP3;RHOB;IFIT2;NFKB2;TNFAIP8;PTPRE;ICAM1;DDX58;IFIH1;LAMB3;RIPK2;FOSL2;CEBPB;TNFAIP3;EHD1;SDC4;IL18;PFKFB3;TANK;PLEK;SLC2A3;B4GALT1;RELB;DNAJB4;PHLDA1;JAG1,CD44;PLAU;SOD2;TNC;F3;TUBB2A;VEGFA;PLAUR;JUNB;PDLIM5;TSC22D1;SMAD3
UV Response Up,0.23190862551294453,0.8661546806858574,0.7185741088180112,0.8542132236822503,158,93,HLA-F;SOD2;BAK1;FKBP4;BID;HSPA2;TUBA4A;HNRNPU;ALDOA;CA2;LYN;BSG;JUNB;PSMC3;DNAJA1;SULT1A1;PDAP1;CASP3;STARD3;IGFBP2;TFRC;RRAD;FEN1;GPX3;COL2A1;TAP1;CLTB;MGAT1;YKT6;NUP58;SQSTM1;STIP1;RXRB;CDK2;NXF1;CNP;PRKCD;NFKBIA;RPN1;CREG1;ATP6V1C1;RFC4;C4BPB;PRPF3;HSPA13;PRKACA;RAB27A;HMOX1;TGFBRAP1;CDC5L;EIF2S3;GGH;POLE3;ACAA1;MARK2;PPT1;EIF5;MAOA;STK25;EPHX1;ATP6V1F;ARRB2;GRPEL1;RHOB;SLC25A4;CTSV;ICAM1;APOM;PPP1R2;PDLIM3;WIZ;AP2S1;PPIF;CYB5R1;UROD;DNAJB1;POLR2H;NAT1;MSX1;GLS;DDX21;MMP14;PPAT;AGO2;EPCAM;ASNS;SPR;MRPL23;SELENOW;CYB5B;TST;ENO2;CHKA,HLA-F;SOD2;BAK1;FKBP4;BID;HSPA2;TUBA4A;HNRNPU;ALDOA;CA2;LYN;BSG;JUNB;PSMC3;DNAJA1;SULT1A1;PDAP1;CASP3;STARD3;IGFBP2;TFRC;RRAD
Adipogenesis,-0.24348044887198364,-0.9913176632852804,0.47708333333333336,0.8569854187860292,200,145,LAMA4;OMD;CYC1;SOD1;COX6A1;FABP4;CRAT;PLIN2;UQCR10;ENPP2;MGST3;APOE;COQ9;MYLK;EPHX2;UQCRQ;ORM1;DECR1;ALDOA;YWHAG;DLD;PFKL;SULT1A1;ITIH5;CAVIN2;ATL2;RETN;COX7B;FAH;GPX3;IDH3G;STAT5A;IDH3A;HIBCH;MAP4K3;ETFB;CDKN2C;IMMT;ECH1;CAT;STOM;ATP5PO;UQCRC1;PHYH;CS;GPD2;LPCAT3;PDCD4;ACO2;RETSAT;G3BP2;PREB;CPT2;POR;C3;SAMM50;HADH;COQ3;CHUK;DNAJB9;COQ5;GPHN;NDUFS3;MDH2;MRPL15;AK2;PPM1B;RREB1;SOWAHC;SLC27A1;ACOX1;ARAF;COX8A;SDHB;HSPB8;TALDO1;DHRS7;ACADS;ITSN1;MTCH2;UBQLN1;CMPK1;GPX4;CAVIN1;NMT1;NDUFAB1;DBT;RAB34;AGPAT3;NDUFA5;DLAT;RTN3;ACLY;RIOK3;CD151;ACADM;ITGA7;RMDN3;ESYT1;PGM1;GRPEL1;PHLDB1;DDT;MCCC1;BCKDHA;GBE1;NDUFB7;BAZ2A;SQOR;ALDH2;APLP2;COL4A1;ATP1B3;SCARB1;ADCY6;QDPR;SNCG;ACAA2;COL15A1;PEX14;CMBL;SORBS1;SLC25A1;BCL2L13;SUCLG1;PFKFB3;SCP2;ME1;ECHS1;TANK;IDH1;PRDX3;PTCD3;TKT;DHCR7;SPARCL1;AIFM1;MGLL;DHRS7B;REEP5;SLC25A10;TST;ADIPOQ;ABCB8;SLC1A5,SNCG;ACAA2;COL15A1;PEX14;CMBL;SORBS1;SLC25A1;BCL2L13;SUCLG1;PFKFB3;SCP2;ME1;ECHS1;TANK;IDH1;PRDX3;PTCD3;TKT;DHCR7;SPARCL1;AIFM1;MGLL;DHRS7B;REEP5;SLC25A10;TST;ADIPOQ;ABCB8;SLC1A5
Apoptosis,0.2354144146681026,0.8780265151011735,0.724609375,0.8647594075322688,161,95,CD44;ANXA1;SOD2;SOD1;BCL2L1;ISG20;BID;PLCB2;TIMP2;DIABLO;HMGB2;PTK2;DNAJA1;CASP3;PAK1;TIMP1;GPX3;DAP3;F2;TAP1;WEE1;DCN;SQSTM1;MMP2;PDCD4;RETSAT;CDK2;LEF1;FDXR;GPX1;PPP3R1;TSPO;RNASEL;DFFA;HSPB1;CASP8;CASP9;ETF1;DAP;DNM1L;HMOX1;GSR;SPTAN1;BGN;CLU;ADD1;GSTM1;RELA;LMNA;GPX4;TOP2A;PDGFRB;CASP1;GSN;CREBBP;ROCK1;LGALS3;CDKN1B;PPT1;CASP4;TIMP3;CTH;CTNNB1;RHOT2;BCAP31;XIAP;RHOB;PEA15;IGF2R;PLAT;TNFSF10;BAX;MADD;FAS;APP;TGFB2;MGMT;ERBB2;CASP6;CAV1;RARA;DPYD;CASP7;LUM;IL18;CYLD;TXNIP;DNAJC3;CASP2;VDAC2;PPP2R5B;BCL10;CD14;ENO2;KRT18,CD44;ANXA1;SOD2;SOD1;BCL2L1;ISG20;BID;PLCB2;TIMP2
Inflammatory Response,-0.2740580079119789,-0.9289294007195802,0.5612648221343873,0.8704136995591727,200,48,GNAI3;CD82;F3;PVR;LYN;PLAUR;TLR3;EIF2AK2;TIMP1;AHR;BST2;ATP2B1;SLC11A2;NAMPT;MET;ITGB8;RAF1;NFKBIA;ABI1;KIF1B;ITGA5;RELA;RHOG;SRI;CD55;NMI;NFKB1;ATP2C1;ADRM1;SELENOS;ATP2A2;TNFSF10;CYBB;PCDH7;PTPRE;ICAM1;RIPK2;MMP14;STAB1;SEMA4D;IL18;TAPBP;ITGB3;P2RX4;CD14;TPBG;DCBLD2;LCP2,MMP14;STAB1;SEMA4D;IL18;TAPBP;ITGB3;P2RX4;CD14;TPBG;DCBLD2;LCP2
Angiogenesis,-0.2951285120425947,-0.8638512275055724,0.6272189349112426,0.8939235522399307,36,25,VCAN;POSTN;COL3A1;VEGFA;LRPAP1;PTK2;APOH;TIMP1;S100A4;VAV2;STC1;SPP1;VTN;FGFR1;PGLYRP1;APP;NRP1;FSTL1;MSX1;ITGAV;LUM;SERPINA5;COL5A2;JAG1;SLCO2A1,APP;NRP1;FSTL1;MSX1;ITGAV;LUM;SERPINA5;COL5A2;JAG1;SLCO2A1
UV Response Dn,-0.22189180063400185,-0.8400344420657679,0.7880085653104925,0.9006665952776142,144,90,IGFBP5;EFEMP1;F3;COL1A1;MAP1B;COL3A1;PLCB4;COL1A2;FBLN5;IGF1R;PDLIM5;SMAD3;KCNMA1;ADGRL2;PIK3CD;NOTCH2;ICA1;ANXA4;RND3;YTHDC1;ATP2B1;LTBP1;MET;SYNJ2;MAP2K5;NIPBL;BCKDHB;PHF3;DYRK1A;RXRA;VAV2;AKT3;DLG1;PRKCA;LAMC1;RASA2;CDK13;ANXA2;SRI;CAP2;PDGFRB;ATXN1;DDAH1;NFKB1;NFIB;KALRN;ATP2C1;CDKN1B;MAPK14;MIOS;SYNE1;ATP2B4;ADD3;AMPH;PLPP3;DAB2;APBB2;INPP4B;IRS1;CDC42BPA;ATRN;MTA1;ATRX;SCAF8;FHL2;MRPS31;PRKAR2B;PRDM2;TJP1;NRP1;MGMT;ERBB2;CAV1;ZMIZ1;PTPRM;PEX14;WDR37;NR3C1;CELF2;AGGF1;PTEN;RBPMS;NEK7;ABCC1;MGLL;ITGB3;GJA1;SIPA1L1;COL5A2;VLDLR,MTA1;ATRX;SCAF8;FHL2;MRPS31;PRKAR2B;PRDM2;TJP1;NRP1;MGMT;ERBB2;CAV1;ZMIZ1;PTPRM;PEX14;WDR37;NR3C1;CELF2;AGGF1;PTEN;RBPMS;NEK7;ABCC1;MGLL;ITGB3;GJA1;SIPA1L1;COL5A2;VLDLR
