Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Androgen Response,0.3662152318975598,1.290979277602285,0.10211946050096339,0.41099912596962745,100,66,HPGD;GNAI3;MYL12A;SMS;ABCC4;AKT1;AKAP12;NDRG1;PGM3;B2M;SRP19;RAB4A;SPCS3;PDLIM5;TSC22D1;SELENOP;SEC24D;LMAN1;UBE2J1;NGLY1;UBE2I;GPD1L;DBI;MAP7;XRCC5;STK39;DNAJB9;CAMKK2;RRP12;IQGAP2;ARID5B;GSR;SLC38A2;GUCY1A1;VAPA;ACTN1;ADRM1;AZGP1;RPS6KA3;ZBTB10;PTK2B;SORD;NCOA4;TPD52;PA2G4;CDK6;IDI1;TNFAIP8;FKBP5;INPP4B;ACSL3;KRT19;HMGCS1;XRCC6;ZMIZ1;UAP1;ITGAV;HOMER2;PIAS1;SLC26A2;B4GALT1;ALDH1A3;SRF;KRT8;ADAMTS1;HMGCR,HPGD;GNAI3;MYL12A;SMS;ABCC4;AKT1;AKAP12;NDRG1;PGM3;B2M;SRP19;RAB4A;SPCS3;PDLIM5;TSC22D1;SELENOP
KRAS Signaling Dn,-0.38849961906713326,-1.2512794131940959,0.15689981096408318,0.524075957951848,200,36,MTHFR;HSD11B2;COQ8A;IDUA;PDK2;SELENOP;KRT1;ITIH3;CAMK1D;IGFBP2;COL2A1;KRT4;CDKAL1;COPZ2;NRIP2;PRODH;DTNB;SYNPO;AKR1B10;VPS50;GTF3C5;GAMT;C5;CALML5;SPHK2;EFHD1;TGFB2;SPTBN2;FGGY;KRT13;CELSR2;KMT2D;MX1;PRKN;PTPRJ;KRT5,KRT13;CELSR2;KMT2D;MX1;PRKN;PTPRJ;KRT5
Allograft Rejection,0.319844558877277,1.177015089594131,0.17938144329896907,0.6051806784660767,200,77,RPS9;CTSS;AKT1;MMP9;PSMB10;TAP2;B2M;GLMN;HLA-DMA;LYN;HLA-DMB;TLR3;IKBKB;EIF3J;KRT1;STAT1;ABCE1;TGFB1;C2;NME1;TIMP1;CAPG;HLA-DRA;F2;EIF5A;TAP1;BCL3;FLNA;CSK;PTPN6;EGFR;GBP2;ZAP70;ITGB2;UBE2N;ABI1;CD74;RPS3A;MRPL3;CFP;RPL9;HCLS1;NPM1;MAP3K7;MTIF2;PTPRC;PRKCB;NCK1;WAS;GZMA;EIF3D;RPS19;APBB1;HLA-E;ELANE;TPD52;FYB1;EIF3A;ICAM1;EIF4G3;NCF4;RIPK2;TRAF2;FAS;THY1;TGFB2;CD47;IL16;BCAT1;STAB1;ITGAL;IL18;HLA-A;TAPBP;BCL10;GALNT1;LCP2,RPS9;CTSS;AKT1;MMP9;PSMB10;TAP2;B2M;GLMN;HLA-DMA;LYN;HLA-DMB;TLR3;IKBKB;EIF3J;KRT1;STAT1;ABCE1;TGFB1;C2;NME1;TIMP1
IL-6/JAK/STAT3 Signaling,0.38240169939261986,1.0969783637772546,0.33399602385685884,0.6198718999235223,87,24,CD44;BAK1;IRF9;PTPN2;STAT1;STAT3;TGFB1;MYD88;GRB2;STAM2;HAX1;A2M;TYK2;HMOX1;ITGA4;PTPN11;CD9;CBL;STAT2;PTPN1;FAS;LTBR;ITGB3;CD14,CD44;BAK1;IRF9;PTPN2;STAT1;STAT3;TGFB1
Bile Acid Metabolism,0.3368596737773547,1.151642028021443,0.23640167364016737,0.621025893149787,112,51,ALDH1A1;TTR;SOD1;ISOC1;AMACR;GC;PEX6;SLC27A2;EPHX2;HSD17B4;CROT;ABCD3;LONP2;HSD17B11;AR;CYP27A1;PEX1;ACSL1;APOA1;NUDT12;PNPLA8;CAT;PHYH;PEX19;RETSAT;FDXR;RXRA;GSTK1;NPC1;PRDX5;PFKM;ATXN1;RBP1;ALDH9A1;MLYCD;SERPINA6;IDI1;ABCD1;SLC35B2;NEDD4;ACSL5;GNPAT;SCP2;IDH1;BCAR3;PECR;OPTN;GCLM;HACL1;IDH2;FADS2,ALDH1A1;TTR;SOD1;ISOC1;AMACR;GC;PEX6;SLC27A2;EPHX2
Protein Secretion,0.29835910415324424,1.112235245282859,0.2722117202268431,0.6266425315097881,96,84,CTSC;SOD1;LAMP2;ARFGEF1;CLN5;VAMP3;GLA;ANP32E;GOSR2;RAB14;GNAS;RAB9A;AP2M1;ICA1;ARFGEF2;GALC;RER1;SEC24D;LMAN1;ZW10;AP3B1;SCAMP1;SCAMP3;DST;SEC31A;VPS45;CLCN3;STX16;TMED10;M6PR;STX12;YKT6;ERGIC3;AP2B1;EGFR;STX7;ARCN1;CLTC;PAM;KIF1B;ATP1A1;ATP6V1H;ADAM10;CLTA;DNM1L;SEC22B;SCRN1;YIPF6;VAMP7;COPB2;USO1;AP3S1;TSG101;TOM1L1;PPT1;STAM;MAPK1;VPS4B;GOLGA4;RPS6KA3;RAB2A;IGF2R;COG2;COPB1;TPD52;OCRL;ATP7A;SNX2;RAB22A;MON2;RAB5A;NAPG;AP2S1;GBF1;ARFIP1;COPE;TMX1;NAPA;SNAP23;AP1G1;ARFGAP3;TMED2;KRT18;CD63,CTSC;SOD1;LAMP2;ARFGEF1;CLN5;VAMP3;GLA;ANP32E;GOSR2;RAB14;GNAS;RAB9A;AP2M1;ICA1;ARFGEF2;GALC;RER1;SEC24D;LMAN1;ZW10;AP3B1;SCAMP1;SCAMP3;DST;SEC31A;VPS45;CLCN3;STX16;TMED10
Glycolysis,0.25917400215072445,1.0195474640699407,0.4297029702970297,0.671690634218289,200,131,TGFBI;VCAN;SDC1;CD44;SOD1;ISG20;FKBP4;CAPN5;RPE;GPC1;IDUA;VEGFA;QSOX1;ALDOA;CLDN3;ERO1A;GYS1;G6PD;TXN;AK4;GMPPB;POLR3K;DLD;AK3;CYB5A;ALG1;TSTA3;GLCE;ABCB6;GALK1;HSPA5;NOL3;ANKZF1;PFKP;PKM;GLRX;DSC2;CDK1;PLOD2;GMPPA;MET;FUT8;PSMC4;GNPDA1;ANG;DCN;CHPF;SAP30;EGFR;LDHA;HAX1;MDH2;PAM;STC1;GCLC;PPIA;PAXIP1;P4HA2;PDK3;PHKA2;PLOD1;TPI1;PGK1;PC;UGP2;HDLBP;TALDO1;COPB2;AGL;LHPP;FAM162A;ARPP19;BPNT1;PPP2CB;NDUFV3;RBCK1;PYGL;COL5A1;ALDH9A1;CTH;NANP;HK2;GNE;NASP;GOT2;DPYSL4;P4HA1;MED24;PGLS;COG2;NSDHL;PGAM1;PGM2;PRPS1;KIF2A;STMN1;MPI;AKR1A1;ME2;SLC16A3;PMM2;CASP6;PKP2;GPC4;PYGB;GFPT1;GAPDHS;GOT1;ZNF292;GALE;ME1;IDH1;IGFBP3;HS2ST1;ENO1;MDH1;AGRN;B4GALT1;MIF;SLC25A10;B3GAT3;ALDH7A1;TPBG;NT5E;GUSB;GALK2;SLC25A13;B4GALT4;ENO2;VLDLR;TFF3,TGFBI;VCAN;SDC1;CD44;SOD1;ISG20;FKBP4;CAPN5;RPE;GPC1;IDUA;VEGFA;QSOX1;ALDOA;CLDN3;ERO1A;GYS1;G6PD;TXN;AK4;GMPPB;POLR3K;DLD;AK3;CYB5A;ALG1;TSTA3;GLCE;ABCB6;GALK1;HSPA5;NOL3;ANKZF1
Estrogen Response Late,-0.28267542325325185,-1.0837714277111934,0.3034623217922607,0.6739318413021363,200,96,CKB;CD44;AGR2;ITPK1;ISG20;FKBP4;FABP5;PRSS23;NXT1;SLC27A2;GLA;SERPINA3;JAK1;PGR;CA2;BAG1;DCXR;TSTA3;S100A9;SLC9A3R1;DNAJC1;FARP1;MYOF;ETFB;UGDH;PDCD4;CA12;PTPN6;MAPT;IMPA2;LLGL2;COX6C;FLNB;ALDH3A2;CXCL12;ASS1;KLK11;MOCS2;ARL3;HPRT1;RABEP1;DYNLT3;ALDH3B1;LTF;METTL3;HSPB8;FRK;UNC13B;SERPINA1;TOP2A;WFS1;SLC16A1;RNASEH2A;ATP2B4;ADD3;CD9;LSR;SORD;DLG5;TPD52L1;LAMC2;NCOR2;FKBP5;KRT19;IGFBP4;PDLIM3;PLXNB1;BLVRB;PPIF;PKP3;PRKAR2B;SCARB1;PAPSS2;CAV1;NAB2;HOMER2;CDH1;KRT13;SLC26A2;GALE;CELSR2;ST14;HSPA4L;DHCR7;PCP4;CLIC3;SERPINA5;MAPK13;TST;MDK;IDH2;TJP3;TPBG;FDFT1;TFF3;SFN,KRT13;SLC26A2;GALE;CELSR2;ST14;HSPA4L;DHCR7;PCP4;CLIC3;SERPINA5;MAPK13;TST;MDK;IDH2;TJP3;TPBG;FDFT1;TFF3;SFN
Myogenesis,0.2663098040816306,1.003359780020095,0.4311023622047244,0.6774827925270404,200,98,SOD3;CKB;COL6A2;EPHB3;MYH11;SGCD;COL1A1;CRAT;COL3A1;GAA;MYH9;MYLK;NOTCH1;COL6A3;DES;BAG1;NAV2;LDB3;SPEG;PLXNB2;TGFB1;FABP3;FHL1;GABARAPL2;RIT1;SPARC;ITGB4;GPX3;ACSL1;LAMA2;SIRT2;DMD;APOD;KLF5;MYO1C;SYNGR2;EIF4A2;PDLIM7;CKMT2;FLII;AK1;TSC2;PC;SPTAN1;AEBP1;HDAC5;CRYAB;CLU;HSPB8;CFD;AGL;PFKM;NQO1;LSP1;COL4A2;FDPS;GSN;ITGB1;ITGA7;SVIL;GNAO1;MEF2D;NCAM1;PDE4DIP;TPD52L1;MYL3;PICK1;SORBS3;CDH13;TAGLN;WWTR1;LPIN1;ACTN2;MYL6B;AKT2;ITGB5;FGF2;MAPRE3;APP;SH2B1;CNN3;PTGIS;ATP6AP1;COL15A1;ABLIM1;SORBS1;PYGM;IGFBP3;AGRN;TPM2;DTNA;RB1;PRNP;BIN1;ENO3;IGFBP7;SMTN;TPM3,SOD3;CKB;COL6A2;EPHB3;MYH11;SGCD;COL1A1;CRAT;COL3A1;GAA;MYH9;MYLK;NOTCH1;COL6A3;DES;BAG1;NAV2;LDB3;SPEG
Unfolded Protein Response,-0.32073510974498554,-1.1763458386286871,0.1723404255319149,0.685868090878264,113,83,WIPI1;TUBB2A;VEGFA;XPOT;ERO1A;SPCS3;SSR1;YWHAZ;GOSR2;NHP2;EIF4A3;HERPUD1;HSP90B1;HSPA5;DDX10;NOP14;PDIA6;SEC31A;KHSRP;DNAJA4;TTC37;KIF5B;EEF2;EIF2S1;PSAT1;CXXC1;BAG3;PREB;PDIA5;EIF4A2;CNOT2;EIF4EBP1;DNAJB9;PARN;DCP2;LSM4;IFIT1;EXOC2;CALR;DCTN1;DKC1;RPS14;NPM1;EDC4;SRPRB;CNOT4;DCP1A;WFS1;NFYB;EIF4E;EXOSC2;EXOSC10;SRPRA;BANF1;SHC1;HSPA9;NOP56;IMP3;MTHFD2;EIF4A1;MTREX;ATP6V0D1;RRP9;GEMIN4;EIF4G1;EXOSC4;EXOSC9;FKBP14;CEBPB;FUS;ARFGAP1;SEC11A;HYOU1;PAIP1;SDAD1;DNAJC3;NOLC1;ASNS;LSM1;EXOSC1;EXOSC5;ALDH18A1;NFYA,ATP6V0D1;RRP9;GEMIN4;EIF4G1;EXOSC4;EXOSC9;FKBP14;CEBPB;FUS;ARFGAP1;SEC11A;HYOU1;PAIP1;SDAD1;DNAJC3;NOLC1;ASNS;LSM1;EXOSC1;EXOSC5;ALDH18A1;NFYA
